Doubling #,Intended Duration (months),Intended Year,Intended Horizon,Mistaken Duration (months),Mistaken Year,Mistaken Horizon,Ratio (M/I)
1,11.256824482446973,2021.9380687068706,14.0s,17.631441944195103,2022.469286828683,22.0s,1.5662891405731891
2,9.561926192619467,2022.7348958895889,27.9s,10.40187578757741,2023.336109810981,43.9s,1.0878431372547377
3,8.129512151216659,2023.4123552355236,55.9s,7.222066606660519,2023.9379486948694,1.5min,0.8883763837636516
4,6.914585058506418,2023.9885706570658,1.9min,5.452172817283099,2024.392296429643,2.9min,0.788503253796229
5,5.872147614759342,2024.477916291629,3.7min,4.334739873986109,2024.7535247524752,5.9min,0.7381864623244421
6,4.9947002700291705,2024.8941413141315,7.5min,3.5772853285325255,2025.0516318631862,11.7min,0.7162162162158398
7,4.244745274527304,2025.2478700870088,14.9min,3.029818181819792,2025.3041167116712,23.5min,0.7137809187283195
8,3.6072835283530367,2025.5484770477049,29.9min,2.6173429342925374,2025.5222286228623,47.0min,0.7255717255714378
9,3.06731593159202,2025.8040867086709,59.8min,2.294862286229545,2025.7134671467147,1.6hr,0.7481662591692827
10,2.6098433843380917,2026.0215736573657,2.0hr,2.0398775877592925,2025.8834569456947,3.1hr,0.7816091954025993
11,2.2123672367251856,2026.2059375937595,4.0hr,1.8298901890184425,2026.0359477947795,6.3hr,0.8271186440670232
12,1.8823870387022907,2026.362803180318,1.0 work days,1.6574005400525493,2026.1740645064506,1.6 work days,0.8804780876493677
13,1.5974041404142554,2026.4959201920192,2.0 work days,1.514909090909896,2026.300306930693,3.1 work days,0.948356807512114
14,1.3574185418556226,2026.6090384038405,4.0 work days,1.3874167416734053,2026.4159249924992,6.3 work days,1.0220994475121685
15,1.1549306930692183,2026.705282628263,8.0 work days,1.2824230423057088,2026.522793579358,12.6 work days,1.1103896103909756
16,0.9824410441033251,2026.7871527152715,16.1 work days,1.1924284428441752,2026.6221626162617,1.2 work mo,1.2137404580164968
17,0.8399495949606717,2026.8571485148516,1.5 work mo,1.1099333933398157,2026.7146570657067,2.4 work mo,1.3214285714272953
18,0.7124572457241811,2026.9165199519953,3.1 work mo,1.0349378937899019,2026.8009018901892,4.8 work mo,1.4526315789489004
19,0.6074635463537561,2026.9671419141914,6.3 work mo,0.9749414941488794,2026.8821470147016,9.7 work mo,1.60493827160638
20,0.5099693969405052,2027.0096393639365,1.0 work yr,0.914945094507857,2026.9583924392439,1.6 work yr,1.7941176470528437
