,agent,coefficient,intercept,bce_loss,average,p50,p50q0.025,p50q0.975,p80,p80q0.025,p80q0.975,1-4 min,4-16 min,16-64 min,64-256 min,256-960 min,release_date
0,Claude 3 Opus,-0.551748,1.480455,0.319064,0.377459,6.422825,2.720723,13.255999,1.125572,0.399649,2.915412,0.594355,0.496913,0.227102,0.065516,0.006847,2024-03-04
1,Claude 3.5 Sonnet (New),-0.524556,2.547853,0.396384,0.52701,28.983512,13.728999,58.61494,4.640773,1.798999,11.246964,0.984675,0.683975,0.491526,0.209935,0.109551,2024-10-22
2,Claude 3.5 Sonnet (Old),-0.552429,2.31313,0.36829,0.476797,18.21683,9.346362,33.665083,3.19928,1.358641,7.341109,0.833525,0.669465,0.388459,0.120377,0.06847,2024-06-20
3,Claude 3.7 Sonnet,-0.702519,4.132515,0.314282,0.603643,58.991021,29.409307,105.727645,15.023035,5.449323,31.98725,1.0,0.895341,0.6747,0.262348,0.07927,2025-02-24
4,GPT-2,-0.49278,-2.292107,0.1799,0.101641,0.039792,0.001901,0.129857,0.005662,0.000135,0.026424,0.0,0.0,0.0,0.0,0.0,2019-02-14
5,GPT-4 0125,-0.640663,1.55288,0.25533,0.351726,5.366063,2.799729,9.701596,1.197496,0.562116,2.471218,0.605048,0.484919,0.128868,0.015838,0.006847,2024-01-25
6,GPT-4 0314,-0.560241,1.357645,0.303443,0.361067,5.364045,2.368611,9.974551,0.965175,0.361345,2.233575,0.477863,0.504061,0.184479,0.050435,0.0,2023-03-14
7,GPT-4 1106,-0.541915,1.678409,0.34057,0.404329,8.557433,4.062812,16.707647,1.453006,0.562221,3.629925,0.731348,0.605484,0.248634,0.095197,0.006847,2023-11-06
8,GPT-4 Turbo,-0.657572,1.785511,0.258854,0.367357,6.567339,3.244854,12.092058,1.523202,0.693411,3.221662,0.654733,0.53735,0.141537,0.049776,0.0,2024-04-09
9,GPT-4o,-0.568075,1.816133,0.328378,0.407636,9.17045,4.268106,18.078663,1.689572,0.720102,3.787447,0.73569,0.614769,0.237548,0.131602,0.0,2024-05-13
10,davinci-002 (GPT-3),-0.653157,-1.794859,0.158918,0.162822,0.14886,0.066696,0.245692,0.034187,0.012066,0.062933,0.0,0.0,0.0,0.0,0.0,2020-05-28
11,gpt-3.5-turbo-instruct,-0.780844,-0.563574,0.102686,0.233254,0.606361,0.244765,0.98384,0.177129,0.059022,0.293952,0.039164,0.037333,0.0,0.0,0.0,2022-03-15
12,human,-0.385584,2.548212,0.470403,0.645483,97.592792,42.306923,221.9981,8.074619,2.45906,23.2722,0.821208,0.850731,0.652467,0.460536,0.268076,
13,o1,-0.510703,2.703164,0.408309,0.55932,39.206576,17.638246,82.793769,5.973358,1.94441,16.876803,1.0,0.681395,0.582488,0.285403,0.108776,2024-12-05
14,o1-preview,-0.611026,2.733654,0.343418,0.494422,22.221357,11.498705,39.929694,4.610993,2.091201,9.874686,0.81338,0.774656,0.40691,0.18538,0.028366,2024-09-12
