p_H,p_AI,a,b,c,r_squared,t50_t80_ratio,sigmoid_L,sigmoid_k,sigmoid_x0,overall_ai_win,score
0.9,0.92,0.02,0.5,1.2,0.979259658722535,5.19720178511775,85.9936831252584,-3.1611304083568053,1.5381111596136317,43.76,0.9603195772959213
0.9,0.92,0.02,0.3,1.3,0.9834744758202548,4.665741122484398,91.48357589271772,-2.6227078139136135,1.3414112088075394,40.83,0.9494505754001266
0.9,0.92,0.05,0.5,1.1,0.981255235123801,4.632009128564883,87.24337095979737,-3.1653465543516957,1.4252656285939016,41.31,0.9437481268295036
0.9,0.95,0.02,0.3,1.3,0.9707508477243371,4.6353363546966,92.72584378753251,-2.5239754595240536,1.6252865151318086,49.5,0.9339937806023921
0.9,0.92,0.02,0.75,1.1,0.9770376073542707,5.54268225148542,83.91067966704613,-3.536307352775963,1.6420000634703082,45.769999999999996,0.9267003210428764
0.9,0.92,0.05,0.3,1.1,0.9855279841761757,5.64373592229232,88.65618900891705,-2.616449084990797,1.5216170340427853,44.61,0.9258501593415787
0.9,0.95,0.05,0.3,1.1,0.9631686918130379,5.953420280421912,87.30263783492282,-2.7115678430772334,1.9654639193798493,56.2,0.8791187491973811
0.9,0.92,0.02,0.5,1.3,0.9764231893607122,3.9683077351882368,88.3067142450269,-3.338701709385416,1.3322368585005437,39.129999999999995,0.863598382384504
0.9,0.92,0.02,0.75,1.2,0.9862316473818135,3.7767665190964608,84.90979474859,-4.213228364387013,1.3850873542002844,39.21,0.8478782950198618
0.9,0.95,0.02,0.5,1.2,0.9717490159767114,3.8358547694197984,87.06264066571383,-3.6443432178817945,1.8339939108745777,52.7,0.8429701076933712
0.9,0.95,0.05,0.5,1.1,0.9800394961830076,3.716866534462128,89.08801617394002,-3.382919739890616,1.7118451300236848,50.3,0.8347207447584317
0.9,0.92,0.05,0.75,1.1,0.9768337139363654,3.6670340098134875,87.03382716636885,-3.7764451488183846,1.324594446926251,38.39,0.8253977480260356
0.9,0.92,0.1,0.3,1.1,0.981132389579068,3.4590051796943992,95.21671192613759,-2.892796327754283,1.1258337566686238,35.91,0.800379897547909
0.9,0.95,0.1,0.3,1.1,0.9743496392415236,3.495822624009773,95.5595498744753,-2.841230861737931,1.338898888977377,42.34,0.8000047798072973
0.9,0.92,0.02,0.3,1.2,0.9733919194938726,7.210556698108376,87.18105729654022,-2.4643744969134516,1.6282310510165665,46.800000000000004,0.7952085144474258
0.9,0.95,0.02,0.5,1.1,0.9563609231698937,3.514931842341465,82.97137442805992,-5.269334424255856,2.453127509371619,67.45,0.787841627475368
0.9,0.95,0.02,0.3,1.2,0.9495512428244537,7.036556929568495,84.91979413530382,-2.867482755661691,2.1738928563649296,60.49,0.7873294025811264
0.9,0.95,0.02,0.5,1.3,0.9720409272776757,3.394847822277734,90.32895083062228,-3.45149285242423,1.5356056338363093,45.82,0.7838640216082123
0.9,0.92,0.02,0.75,1.3,0.988118951688461,3.235898180826983,86.35343884501113,-4.341801147684346,1.2340311503655146,35.39,0.7731381710275608
0.9,0.95,0.02,0.75,1.1,0.9760527802963365,3.271367010543296,85.98526937723916,-4.398063382158485,1.9368035401439256,55.13,0.7690173600086645
0.9,0.92,0.1,0.5,1.1,0.9810719714282098,3.168457414443424,91.84209680401943,-3.458626745704684,1.176966310377837,35.97,0.757292857577741
0.9,0.99,0.1,0.3,1.1,0.9593998993836641,3.274034642560245,95.13296917258634,-3.033957749670199,1.7606257133041383,54.81,0.7562878159745678
0.9,0.95,0.05,0.3,1.2,0.9726171264446111,3.07829476755941,98.67143574567876,-2.924577623792858,1.2692156297401487,41.370000000000005,0.7367272659025047
