Organization,Year,Employees,Employees_std,Compute_Price,Compute_Price_std,Wage,Wage_std,Local_Wage_CX,Local_Wage_PPP,Effective_Tax_Rate,Training_Compute_PFLOP,Training_Compute_PFLOP_std,Research_Compute_PFLOP,Research_Compute_PFLOP_std,Annual_Compute_PFLOP,Annual_Compute_PFLOP_std
Anthropic,2021,35.0,0.0,14.775167943987144,1.8065777352784005,106251.47601476016,21250.295202952027,98340.51955719556,98340.51955719556,26.917324639999997,522780030.1666535,747674641.4041164,174260010.05555117,249224880.4680388,697040040.2222047,996899521.8721552
Anthropic,2022,104.0,0.0,13.67977626518796,1.6726428638894657,98374.2740006833,19674.85480013666,97371.79330372396,97371.79330372396,27.477998,1538900242.7275417,1283430668.9262133,512966747.5758472,427810222.9754044,2051866990.3033888,1711240891.9016175
Anthropic,2023,271.0,0.0,13.686340781540151,1.4716931164146545,189000.0,37800.0,97469.0,97469.0,26.576449000000004,2899500000.0,0.0,966500000.0,0.0,3866000000.0,0.0
Anthropic,2024,905.0,0.0,9.100159808190613,1.3895722774553203,203520.99236641225,40704.19847328244,97062.06870229008,97062.06870229008,26.28267427184466,32550007500.000008,0.0,10850002500.000002,0.0,43400010000.00001,0.0
DeepMind,2011,59.0,0.0,,,,,,,,28.482592166284157,10.521584074977419,9.494197388761386,3.50719469165914,37.97678955504554,14.02877876663656
DeepMind,2012,70.0,0.0,,,,,,,,146.6779134762518,50.93236878983117,48.89263782541727,16.97745626327706,195.57055130166907,67.90982505310824
DeepMind,2013,75.0,0.0,,,,,,,,146.6779134762518,0.0,48.89263782541727,0.0,195.57055130166907,0.0
DeepMind,2014,100.0,0.0,361.1342150223679,77.5530417036035,190311.989860583,45675.39247993241,78076.76825095057,54417.141508238274,32.35204938095015,3889.870537998428,49253.15668725278,1296.6235126661427,16417.718895750924,5186.494050664571,65670.8755830037
DeepMind,2015,349.0,0.0,306.57552063892626,52.019533833344695,70761.11097046414,16982.203797468355,74975.74194092827,51273.73319831224,33.456273534842715,285000.0,0.0,95000.0,0.0,380000.0,0.0
DeepMind,2016,525.0,0.0,116.61476355248156,15.83354966551866,105022.4725,25205.037916666664,72577.61023333334,45606.201025,34.654912155195255,1425000.0,0.0,475000.0,0.0,1900000.0,0.0
