task_number,alias,human_time,ai_time,score
0,Claude 3 Opus,877.018,19.501722916666665,0.0
0,Claude 3 Opus,877.018,19.501722916666665,1.0
1,Claude 3 Opus,455.249,94.67533541666667,0.0
1,Claude 3 Opus,455.249,94.67533541666667,1.22771e-05
1,Claude 3 Opus,455.249,94.67533541666667,0.0252671969
1,Claude 3 Opus,455.249,94.67533541666667,0.0022598235
1,Claude 3 Opus,455.249,94.67533541666667,0.2863772927
1,Claude 3 Opus,455.249,94.67533541666667,0.4952112343
1,Claude 3 Opus,455.249,94.67533541666667,0.0322511386
1,Claude 3 Opus,455.249,94.67533541666667,0.2277625047
1,Claude 3 Opus,455.249,94.67533541666667,0.0022613064
1,Claude 3 Opus,455.249,94.67533541666667,0.42110731
1,Claude 3 Opus,455.249,94.67533541666667,0.7351336418
1,Claude 3 Opus,455.249,94.67533541666667,1.0
1,Claude 3 Opus,455.249,94.67533541666667,0.8814259179
1,Claude 3 Opus,455.249,94.67533541666667,0.6407736253
1,Claude 3 Opus,455.249,94.67533541666667,0.6612314082
1,Claude 3 Opus,455.249,94.67533541666667,0.897564556
1,Claude 3 Opus,455.249,94.67533541666667,9.69318e-05
1,Claude 3 Opus,455.249,94.67533541666667,0.6747984496
1,Claude 3 Opus,455.249,94.67533541666667,0.9901217046
1,Claude 3 Opus,455.249,94.67533541666667,0.583128166
1,Claude 3 Opus,455.249,94.67533541666667,0.061872667
1,Claude 3 Opus,455.249,94.67533541666667,0.2480428347
1,Claude 3 Opus,455.249,94.67533541666667,0.1308892426
1,Claude 3 Opus,455.249,94.67533541666667,0.7188665695
1,Claude 3 Opus,455.249,94.67533541666667,0.5668103901
1,Claude 3 Opus,455.249,94.67533541666667,0.6551299824
1,Claude 3 Opus,455.249,94.67533541666667,0.6950478087
1,Claude 3 Opus,455.249,94.67533541666667,0.0787649454
1,Claude 3 Opus,455.249,94.67533541666667,0.8067037564
1,Claude 3 Opus,455.249,94.67533541666667,0.8025503476
2,Claude 3 Opus,480.0,140.24599375,0.0
2,Claude 3 Opus,480.0,140.24599375,0.2138461538
2,Claude 3 Opus,480.0,140.24599375,0.1454700855
2,Claude 3 Opus,480.0,140.24599375,0.3676923077
2,Claude 3 Opus,480.0,140.24599375,0.1796581197
2,Claude 3 Opus,480.0,140.24599375,0.2651282051
2,Claude 3 Opus,480.0,140.24599375,0.0514529915
2,Claude 3 Opus,480.0,140.24599375,0.3591452991
2,Claude 3 Opus,480.0,140.24599375,0.0557264957
2,Claude 3 Opus,480.0,140.24599375,0.1411965812
2,Claude 3 Opus,480.0,140.24599375,0.248034188
2,Claude 3 Opus,480.0,140.24599375,0.3463247863
2,Claude 3 Opus,480.0,140.24599375,0.5471794872
2,Claude 3 Opus,480.0,140.24599375,0.201025641
2,Claude 3 Opus,480.0,140.24599375,0.4745299145
2,Claude 3 Opus,480.0,140.24599375,0.0941880342
2,Claude 3 Opus,480.0,140.24599375,0.4360683761
2,Claude 3 Opus,480.0,140.24599375,0.4061538462
2,Claude 3 Opus,480.0,140.24599375,0.2223931624
2,Claude 3 Opus,480.0,140.24599375,0.1241025641
2,Claude 3 Opus,480.0,140.24599375,0.1155555556
2,Claude 3 Opus,480.0,140.24599375,1.0
2,Claude 3 Opus,480.0,140.24599375,0.918974359
2,Claude 3 Opus,480.0,140.24599375,0.4376068376
2,Claude 3 Opus,480.0,140.24599375,0.9531623932
2,Claude 3 Opus,480.0,140.24599375,0.4788034188
2,Claude 3 Opus,480.0,140.24599375,0.5258119658
2,Claude 3 Opus,480.0,140.24599375,0.0856410256
2,Claude 3 Opus,480.0,140.24599375,0.0728205128
2,Claude 3 Opus,480.0,140.24599375,0.0044444444
2,Claude 3 Opus,480.0,140.24599375,0.2309401709
2,Claude 3 Opus,480.0,140.24599375,0.0386324786
2,Claude 3 Opus,480.0,140.24599375,0.2993162393
2,Claude 3 Opus,480.0,140.24599375,0.9446153846
2,Claude 3 Opus,480.0,140.24599375,0.2052991453
2,Claude 3 Opus,480.0,140.24599375,0.1497435897
2,Claude 3 Opus,480.0,140.24599375,0.3505982906
2,Claude 3 Opus,480.0,140.24599375,0.1625641026
2,Claude 3 Opus,480.0,140.24599375,0.2266666667
3,Claude 3 Opus,483.331,128.47552222222222,0.0
3,Claude 3 Opus,483.331,128.47552222222222,0.539381472
3,Claude 3 Opus,483.331,128.47552222222222,0.569953838
3,Claude 3 Opus,483.331,128.47552222222222,0.6090660589
3,Claude 3 Opus,483.331,128.47552222222222,0.1280843206
3,Claude 3 Opus,483.331,128.47552222222222,0.5667610407
3,Claude 3 Opus,483.331,128.47552222222222,0.7856115961
3,Claude 3 Opus,483.331,128.47552222222222,0.5716999067
3,Claude 3 Opus,483.331,128.47552222222222,0.1951225987
3,Claude 3 Opus,483.331,128.47552222222222,0.6052805979
3,Claude 3 Opus,483.331,128.47552222222222,0.5901976242
3,Claude 3 Opus,483.331,128.47552222222222,0.6657423051
3,Claude 3 Opus,483.331,128.47552222222222,0.5480496977
3,Claude 3 Opus,483.331,128.47552222222222,0.4826412613
3,Claude 3 Opus,483.331,128.47552222222222,0.5563399034
3,Claude 3 Opus,483.331,128.47552222222222,0.5982084163
3,Claude 3 Opus,483.331,128.47552222222222,0.7144077641
3,Claude 3 Opus,483.331,128.47552222222222,0.5785876364
3,Claude 3 Opus,483.331,128.47552222222222,0.4076922454
3,Claude 3 Opus,483.331,128.47552222222222,0.5208770263
3,Claude 3 Opus,483.331,128.47552222222222,0.5686301665
3,Claude 3 Opus,483.331,128.47552222222222,0.5615858947
3,Claude 3 Opus,483.331,128.47552222222222,0.5884595149
3,Claude 3 Opus,483.331,128.47552222222222,0.5857835192
3,Claude 3 Opus,483.331,128.47552222222222,0.6184527085
3,Claude 3 Opus,483.331,128.47552222222222,0.8140555486
