,trial,taste_level,FasterImpl_Synergy_Fraction_2x,MoreCompute_Synergy_Fraction_2x,Log10_Both_2x_vs_Default,Log10_InstantTime_vs_Default,Log10_InfiniteCompute_vs_Default,NumExp_Default,NumExp_Faster_2x,NumExp_Compute_2x,NumExp_Both_2x,NumExp_Humans_2x,NumExp_InstantTime,NumExp_InfiniteCompute
0,0,Optimal from all ideas (100% visibility),0.38327370665400906,0.368908610312231,1.4938642306128982,2.545765185080727,2.2022543546995927,15,18,20,22,22,45,45
1,0,Optimal from 10% of ideas (worse taste),0.4696261147834727,0.5785518916851007,1.5114522601853502,1.953165990645733,2.5422649033183027,8,10,10,14,14,17,22
2,1,Optimal from all ideas (100% visibility),0.23088962474137645,0.6630332814873268,1.4345231898656492,2.8337310709859858,2.757071982758908,13,17,16,21,23,50,50
3,1,Optimal from 10% of ideas (worse taste),0.32238663612045176,0.376868872301837,1.5578670303020576,1.9514079433349092,1.6850262410524584,6,10,10,12,13,18,16
4,2,Optimal from all ideas (100% visibility),0.41388897152989024,0.38812022953700764,1.55580479834428,2.400151924354719,2.3596751813333405,15,20,20,23,24,49,51
5,2,Optimal from 10% of ideas (worse taste),0.3220595991373253,0.6045359822364605,1.4756445377939817,1.8586109882410018,1.8216042212165955,10,10,12,15,15,21,20
6,3,Optimal from all ideas (100% visibility),0.44000834426738133,0.45974073026308526,1.6083312464495467,2.4644741870227747,2.6432132607398855,15,19,20,26,26,44,53
7,3,Optimal from 10% of ideas (worse taste),0.34309614252042175,0.6950102312066339,1.467776727415808,1.9242161716329438,2.322059288171543,6,7,7,6,8,15,17
8,4,Optimal from all ideas (100% visibility),0.5109638182768877,0.39089342004111555,1.660198138024445,3.128429248353375,2.4492563202046567,15,16,18,22,22,45,44
9,4,Optimal from 10% of ideas (worse taste),0.4332416737241615,0.4121426646201272,1.6041901218338226,2.5866668753386124,2.2615567099179468,6,10,7,10,10,19,20
10,5,Optimal from all ideas (100% visibility),0.4614708082836687,0.43343004947571223,1.662879764657217,3.2832392652574622,3.7494152698963337,15,16,19,21,21,48,52
11,5,Optimal from 10% of ideas (worse taste),0.5500719963339255,0.5010959772333485,1.7397504267173824,2.9515125938362905,2.5642061323852468,5,6,5,7,7,18,18
12,6,Optimal from all ideas (100% visibility),0.46252172222993654,0.48112451127647043,1.5207250998217365,2.1952995281465926,2.440605413239977,17,21,21,26,29,44,47
13,6,Optimal from 10% of ideas (worse taste),0.5211114219390487,0.14867118464153478,1.5398878748045797,1.7322824046768681,2.2061130482980698,8,10,9,12,11,15,18
14,7,Optimal from all ideas (100% visibility),0.44346391230427595,0.3270662871631159,1.5249282816836038,1.9504448480458723,2.0297459648948966,20,26,24,33,33,52,52
15,7,Optimal from 10% of ideas (worse taste),0.5375458849005303,0.41429594687066856,1.6618064817566114,1.962403480064404,1.8824826558386971,6,11,9,11,12,20,19
16,8,Optimal from all ideas (100% visibility),0.537634889614767,0.36075222394149703,1.5775545200641297,2.4996626000561597,2.497425706858785,16,19,20,24,24,47,47
17,8,Optimal from 10% of ideas (worse taste),0.19091121186912885,0.6544131510486324,1.6820919612777154,1.8624344665652597,2.3891397954213915,8,9,10,12,12,19,19
18,9,Optimal from all ideas (100% visibility),0.35693721954328445,0.5779804228122677,1.412553996157986,2.256958914446303,2.494778486891782,18,19,22,24,28,47,50
19,9,Optimal from 10% of ideas (worse taste),0.5205937024733798,0.3006562890132045,1.5785096353496952,2.2779579585380985,1.7629879715374661,7,8,8,10,11,18,17
