,,,,,trial,trial,trial,trial,trial,trial,trial,trial,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_num_experiments,baseline_num_experiments,baseline_num_experiments,baseline_num_experiments,baseline_num_experiments,baseline_num_experiments,baseline_num_experiments,baseline_num_experiments,speedup,speedup,speedup,speedup,speedup,speedup,speedup,speedup
,,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
n_experiments,setting,taste_level,scenario_type,multiplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,current_lognormal,Optimal from 10% of ideas (worse taste),compute_multiplier,0.1,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,16890515037.257181,34434715872.213005,25840175.959164634,126242412.68475808,1816184661.705925,4894307578.92404,103969666309.48483,10.0,9.071013912919856,1.2580562378711384,7.4122954666695655,7.974024601568389,9.175885926698193,9.687610474125838,11.01690665010671,10.0,9.0,1.247219128924647,7.0,8.0,9.0,10.0,11.0,10.0,0.009999999999999995,0.0,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995
5000,current_lognormal,Optimal from 10% of ideas (worse taste),compute_multiplier,1.0,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,16890515037.257181,34434715872.213005,25840175.959164634,126242412.68475808,1816184661.705925,4894307578.92404,103969666309.48483,10.0,9.071013912919856,1.2580562378711384,7.4122954666695655,7.974024601568389,9.175885926698193,9.687610474125838,11.01690665010671,10.0,9.0,1.247219128924647,7.0,8.0,9.0,10.0,11.0,10.0,0.9633415654071815,0.029374379528514353,0.8976871324473142,0.9517630492193313,0.9821718891880378,0.9821718891880378,0.9821718891880378
5000,current_lognormal,Optimal from 10% of ideas (worse taste),compute_multiplier,10.0,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,16890515037.257181,34434715872.213005,25840175.959164634,126242412.68475808,1816184661.705925,4894307578.92404,103969666309.48483,10.0,9.071013912919856,1.2580562378711384,7.4122954666695655,7.974024601568389,9.175885926698193,9.687610474125838,11.01690665010671,10.0,9.0,1.247219128924647,7.0,8.0,9.0,10.0,11.0,10.0,3.245498322350233,1.4149241478934247,1.8434229924091103,2.292124738808279,2.6181005208950534,4.401292123995064,5.725487884358378
5000,current_lognormal,Optimal from 10% of ideas (worse taste),compute_multiplier,100.0,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,16890515037.257181,34434715872.213005,25840175.959164634,126242412.68475808,1816184661.705925,4894307578.92404,103969666309.48483,10.0,9.071013912919856,1.2580562378711384,7.4122954666695655,7.974024601568389,9.175885926698193,9.687610474125838,11.01690665010671,10.0,9.0,1.247219128924647,7.0,8.0,9.0,10.0,11.0,10.0,4.317389925928652,2.375301943056839,1.9109529749704404,2.7302719255406602,3.43015967288257,5.258000638566098,9.821718891880371
5000,current_lognormal,Optimal from 10% of ideas (worse taste),compute_multiplier,1000000.0,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,16890515037.257181,34434715872.213005,25840175.959164634,126242412.68475808,1816184661.705925,4894307578.92404,103969666309.48483,10.0,9.071013912919856,1.2580562378711384,7.4122954666695655,7.974024601568389,9.175885926698193,9.687610474125838,11.01690665010671,10.0,9.0,1.247219128924647,7.0,8.0,9.0,10.0,11.0,10.0,4.449233720740164,2.3128229246535046,2.053525026457146,3.0520266668161176,3.4912931561715164,5.479576368094485,9.821718891880371
5000,current_lognormal,Optimal from 10% of ideas (worse taste),impl_time_speed,0.1,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,16890515037.257181,34434715872.213005,25840175.959164634,126242412.68475808,1816184661.705925,4894307578.92404,103969666309.48483,10.0,9.071013912919856,1.2580562378711384,7.4122954666695655,7.974024601568389,9.175885926698193,9.687610474125838,11.01690665010671,10.0,9.0,1.247219128924647,7.0,8.0,9.0,10.0,11.0,10.0,0.10544618206174242,0.008358391264633393,0.09999999999999998,0.09999999999999998,0.10090758608590907,0.1079743590042314,0.12409377607517194
5000,current_lognormal,Optimal from 10% of ideas (worse taste),impl_time_speed,1.0,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,16890515037.257181,34434715872.213005,25840175.959164634,126242412.68475808,1816184661.705925,4894307578.92404,103969666309.48483,10.0,9.071013912919856,1.2580562378711384,7.4122954666695655,7.974024601568389,9.175885926698193,9.687610474125838,11.01690665010671,10.0,9.0,1.247219128924647,7.0,8.0,9.0,10.0,11.0,10.0,0.9633415654071815,0.029374379528514353,0.8976871324473142,0.9517630492193313,0.9821718891880378,0.9821718891880378,0.9821718891880378
5000,current_lognormal,Optimal from 10% of ideas (worse taste),impl_time_speed,100.0,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,16890515037.257181,34434715872.213005,25840175.959164634,126242412.68475808,1816184661.705925,4894307578.92404,103969666309.48483,10.0,9.071013912919856,1.2580562378711384,7.4122954666695655,7.974024601568389,9.175885926698193,9.687610474125838,11.01690665010671,10.0,9.0,1.247219128924647,7.0,8.0,9.0,10.0,11.0,10.0,96.33415654071807,2.9374379528514587,89.76871324473134,95.17630492193302,98.21718891880374,98.21718891880374,98.21718891880374
