n_experiments,setting,trial,taste_level,scenario_type,multiplier,baseline_improvement,baseline_log10_improvement,baseline_num_experiments,speedup
5000,current_lognormal,0,Optimal from all ideas (100% visibility),compute_multiplier,0.01,5.90379495963744e+17,17.771131265914523,15,0.009999999999999995
5000,current_lognormal,0,Optimal from all ideas (100% visibility),compute_multiplier,1.0,5.90379495963744e+17,17.771131265914523,15,0.9474635256553754
5000,current_lognormal,0,Optimal from all ideas (100% visibility),compute_multiplier,100.0,5.90379495963744e+17,17.771131265914523,15,3.9241897584845358
5000,current_lognormal,0,Optimal from all ideas (100% visibility),compute_multiplier,1000000.0,5.90379495963744e+17,17.771131265914523,15,4.371444812611089
5000,current_lognormal,0,Optimal from all ideas (100% visibility),impl_time_multiplier,0.01,5.90379495963744e+17,17.771131265914523,15,94.74635256553744
5000,current_lognormal,0,Optimal from all ideas (100% visibility),impl_time_multiplier,1.0,5.90379495963744e+17,17.771131265914523,15,0.9474635256553754
5000,current_lognormal,0,Optimal from all ideas (100% visibility),impl_time_multiplier,100.0,5.90379495963744e+17,17.771131265914523,15,0.009999999999999995
5000,current_lognormal,0,Optimal from 10% of ideas (worse taste),compute_multiplier,0.01,37872979169.92041,10.578329469001675,9,0.009999999999999995
5000,current_lognormal,0,Optimal from 10% of ideas (worse taste),compute_multiplier,1.0,37872979169.92041,10.578329469001675,9,0.9646616199111991
5000,current_lognormal,0,Optimal from 10% of ideas (worse taste),compute_multiplier,100.0,37872979169.92041,10.578329469001675,9,1.6253148373118644
5000,current_lognormal,0,Optimal from 10% of ideas (worse taste),compute_multiplier,1000000.0,37872979169.92041,10.578329469001675,9,1.6848548794358387
5000,current_lognormal,0,Optimal from 10% of ideas (worse taste),impl_time_multiplier,0.01,37872979169.92041,10.578329469001675,9,96.4661619911198
5000,current_lognormal,0,Optimal from 10% of ideas (worse taste),impl_time_multiplier,1.0,37872979169.92041,10.578329469001675,9,0.9646616199111991
5000,current_lognormal,0,Optimal from 10% of ideas (worse taste),impl_time_multiplier,100.0,37872979169.92041,10.578329469001675,9,0.009999999999999995
5000,current_lognormal,1,Optimal from all ideas (100% visibility),compute_multiplier,0.01,38024813750359.516,13.580067095509014,13,0.009999999999999995
5000,current_lognormal,1,Optimal from all ideas (100% visibility),compute_multiplier,1.0,38024813750359.516,13.580067095509014,13,0.8353625469578262
5000,current_lognormal,1,Optimal from all ideas (100% visibility),compute_multiplier,100.0,38024813750359.516,13.580067095509014,13,11.341944035027566
5000,current_lognormal,1,Optimal from all ideas (100% visibility),compute_multiplier,1000000.0,38024813750359.516,13.580067095509014,13,12.18814184842289
5000,current_lognormal,1,Optimal from all ideas (100% visibility),impl_time_multiplier,0.01,38024813750359.516,13.580067095509014,13,83.53625469578256
5000,current_lognormal,1,Optimal from all ideas (100% visibility),impl_time_multiplier,1.0,38024813750359.516,13.580067095509014,13,0.8353625469578262
5000,current_lognormal,1,Optimal from all ideas (100% visibility),impl_time_multiplier,100.0,38024813750359.516,13.580067095509014,13,0.010554496008786022
5000,current_lognormal,1,Optimal from 10% of ideas (worse taste),compute_multiplier,0.01,12709425.12261196,7.104125906830656,10,0.009999999999999995
5000,current_lognormal,1,Optimal from 10% of ideas (worse taste),compute_multiplier,1.0,12709425.12261196,7.104125906830656,10,0.9821718891880378
5000,current_lognormal,1,Optimal from 10% of ideas (worse taste),compute_multiplier,100.0,12709425.12261196,7.104125906830656,10,4.6975888167064905
5000,current_lognormal,1,Optimal from 10% of ideas (worse taste),compute_multiplier,1000000.0,12709425.12261196,7.104125906830656,10,5.32797894586564
5000,current_lognormal,1,Optimal from 10% of ideas (worse taste),impl_time_multiplier,0.01,12709425.12261196,7.104125906830656,10,98.21718891880374
5000,current_lognormal,1,Optimal from 10% of ideas (worse taste),impl_time_multiplier,1.0,12709425.12261196,7.104125906830656,10,0.9821718891880378
5000,current_lognormal,1,Optimal from 10% of ideas (worse taste),impl_time_multiplier,100.0,12709425.12261196,7.104125906830656,10,0.010554496008786022
5000,current_lognormal,2,Optimal from all ideas (100% visibility),compute_multiplier,0.01,5.764159584959295e+18,18.760735996067663,15,0.009999999999999995
5000,current_lognormal,2,Optimal from all ideas (100% visibility),compute_multiplier,1.0,5.764159584959295e+18,18.760735996067663,15,0.9821718891880378
5000,current_lognormal,2,Optimal from all ideas (100% visibility),compute_multiplier,100.0,5.764159584959295e+18,18.760735996067663,15,4.958068241684655
5000,current_lognormal,2,Optimal from all ideas (100% visibility),compute_multiplier,1000000.0,5.764159584959295e+18,18.760735996067663,15,5.32797894586564
5000,current_lognormal,2,Optimal from all ideas (100% visibility),impl_time_multiplier,0.01,5.764159584959295e+18,18.760735996067663,15,98.21718891880374
5000,current_lognormal,2,Optimal from all ideas (100% visibility),impl_time_multiplier,1.0,5.764159584959295e+18,18.760735996067663,15,0.9821718891880378
