Organization,Year,Employees,Employees_std,Compute_Price,Compute_Price_std,Wage,Wage_std,Local_Wage_CX,Local_Wage_PPP,Effective_Tax_Rate,Training_Compute_PFLOP,Training_Compute_PFLOP_std,Research_Compute_PFLOP,Research_Compute_PFLOP_std,Annual_Compute_PFLOP,Annual_Compute_PFLOP_std,Hires,Researcher_Fraction,Researcher_Hires,Researchers_Corp,AGI_Researchers_Corp,AGI_Researcher_Increase
Anthropic,2021,35.0,0.0,14.775167943987144,1.8065777352784005,106251.47601476016,21250.295202952027,98340.51955719556,98340.51955719556,26.917324639999997,522780030.1666535,747674641.4041164,174260010.05555117,249224880.4680388,697040040.2222047,996899521.8721552,35.0,0.8,28.0,28.0,25.2,25.2
Anthropic,2022,104.0,0.0,13.67977626518796,1.6726428638894657,98374.2740006833,19674.85480013666,97371.79330372396,97371.79330372396,27.477998,1538900242.7275417,1283430668.9262133,512966747.5758472,427810222.9754044,2051866990.3033888,1711240891.9016175,69.0,0.8,55.2,83.2,74.88000000000001,49.68000000000001
Anthropic,2023,271.0,0.0,13.686340781540151,1.4716931164146545,189000.0,37800.0,97469.0,97469.0,26.576449000000004,2899500000.0,0.0,966500000.0,0.0,3866000000.0,0.0,167.0,0.5,83.5,166.7,150.03,75.14999999999999
Anthropic,2024,905.0,0.0,9.100159808190613,1.3895722774553203,203520.99236641225,40704.19847328244,97062.06870229008,97062.06870229008,26.28267427184466,32550007500.000008,0.0,10850002500.000002,0.0,43400010000.00001,0.0,634.0,0.5,317.0,483.7,435.33,285.29999999999995
DeepMind,2011,59.0,0.0,,,,,,,,28.482592166284157,10.52158407497742,9.494197388761386,3.50719469165914,37.97678955504554,14.02877876663656,59.0,0.8,47.2,47.2,15.576000000000002,15.576000000000002
DeepMind,2012,70.0,0.0,,,,,,,,146.6779134762518,50.93236878983117,48.89263782541727,16.97745626327706,195.57055130166907,67.90982505310824,11.0,0.8,8.8,56.0,18.48,2.903999999999998
DeepMind,2013,75.0,0.0,,,,,,,,146.6779134762518,0.0,48.89263782541727,0.0,195.57055130166907,0.0,5.0,0.8,4.0,60.0,19.8,1.3200000000000003
DeepMind,2014,100.0,0.0,361.1342150223679,77.5530417036035,190311.989860583,45675.39247993241,78076.76825095057,54417.141508238274,32.35204938095015,3889.870537998428,49253.15668725278,1296.6235126661427,16417.718895750924,5186.494050664571,65670.8755830037,25.0,0.8,20.0,80.0,26.400000000000002,6.600000000000001
DeepMind,2015,349.0,0.0,306.57552063892626,52.019533833344695,70761.11097046414,16982.203797468355,74975.74194092827,51273.73319831224,33.456273534842715,285000.0,0.0,95000.0,0.0,380000.0,0.0,249.0,0.8,199.20000000000002,279.20000000000005,92.13600000000002,65.73600000000002
DeepMind,2016,525.0,0.0,116.61476355248156,15.83354966551866,105022.4725,25205.037916666664,72577.61023333334,45606.201025,34.654912155195255,1425000.0,0.0,475000.0,0.0,1900000.0,0.0,176.0,0.8,140.8,420.0,138.6,46.46399999999997
DeepMind,2017,700.0,0.0,41.10582938164444,5.185028078102169,122817.34720522237,29475.467156262748,60362.52450428397,43186.19639330885,34.80441298452626,433266954.75351286,0.0,144422318.25117096,0.0,577689273.0046839,0.0,175.0,0.8,140.0,560.0,184.8,46.20000000000002
DeepMind,2018,700.0,0.0,22.629153191519435,2.6229094400637756,245342.3528474711,58881.97052966945,62001.34133014735,44914.357499004385,34.592678059,433266954.75351286,0.0,144422318.25117096,0.0,577689273.0046839,0.0,0.0,0.8,0.0,560.0,184.8,0.0
DeepMind,2019,1000.0,0.0,20.562296375625575,2.4278207424608733,207459.35041063747,49789.910441924134,65006.571243644896,41545.553050449744,34.516684749999996,433266954.75351286,0.0,144422318.25117096,0.0,577689273.0046839,0.0,300.0,0.8,240.0,800.0,264.0,79.19999999999999
DeepMind,2020,1000.0,0.0,19.146434427683054,2.169605937771772,212377.54829984545,50970.140649149915,64944.89768160742,40113.02503863988,34.54081060000001,433266954.75351286,0.0,144422318.25117096,0.0,577689273.0046839,0.0,0.0,0.8,0.0,800.0,264.0,0.0
DeepMind,2021,1561.0,0.0,17.663995795451893,1.8306889915375664,263961.27269372693,63350.61549815498,62589.70876383765,41262.84503690037,34.398472000000005,518849454.75351214,0.0,172949818.25117072,0.0,691799273.0046829,0.0,561.0,0.8,448.8,1248.8000000000002,412.1040000000001,148.1040000000001
DeepMind,2022,1500.0,0.0,12.205861624963353,1.2027499290520614,139765.37991117185,33544.0659378203,52887.12357020841,34966.69326955928,35.703325,734802105.0000005,0.0,244934035.00000015,0.0,979736140.0000008,0.0,-61.0,0.8,-48.800000000000004,1200.0,540.0,127.8959999999999
DeepMind,2023,1655.0,0.0,11.47158374865316,1.1327234939944997,177331.0,42560.0,56349.9,36827.1,36.421875,39182210798.325005,0.0,13060736932.775002,0.0,52242947731.100006,0.0,155.0,0.5,77.5,1277.5,766.5,226.5
DeepMind,2024,1927.0,0.0,6.082366643381008,0.671332200645472,209107.15903307887,54862.47550890585,57534.61406965648,38172.445785623415,62.649199029126216,39182210798.325005,0.0,13060736932.775002,0.0,52242947731.100006,0.0,272.0,0.5,136.0,1413.5,848.1,81.60000000000002
