,,,trial,trial,trial,trial,trial,trial,trial,trial,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InstantTime_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default,Log10_InfiniteCompute_vs_Default
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
n_experiments,setting,taste_level,,,,,,,,,,,,,,,,,,,,,,,,
5000,budget_0.1,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,3.900306792693226,1.219340667124989,2.4811128249575556,2.9689668956802096,3.600513237691483,4.723799336953211,6.172454418877911,10.0,4.308399437977935,1.295961932214138,2.0260950830374735,3.507235471586963,4.096390752611534,5.312602035371348,6.055799455799208
5000,budget_0.1,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,4.098241107243139,1.1160631182323124,2.161226137901783,3.9555766861720274,4.096113433189893,4.925562946682042,5.650460933511086,10.0,4.0853911046351845,1.1002558537914744,1.9752771145552226,3.5116828049610755,4.017345995498237,4.772072938626148,6.000385117603333
5000,budget_10,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.7381621779676997,0.07121786796110981,1.6348171862444503,1.688384975545035,1.7252422637090277,1.793925823740425,1.8455099071506624,10.0,1.796216209389127,0.08323820355555556,1.6822492311933346,1.738382850964824,1.8114367094962143,1.827077600988913,1.9647034473822829
5000,budget_10,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,2.28953493057639,0.08294892554758833,2.1625099356516544,2.248089343086779,2.29440894357632,2.351068347885833,2.4044409070087664,10.0,2.3451765470863486,0.12121806181494506,2.1236854486481866,2.2847600966088297,2.3308476941009966,2.445592339005061,2.5162603530114884
5000,current_lognormal,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,2.2129705322490816,0.48420059745974886,1.7028868574169362,1.8484086791902459,2.0717352233314386,2.5918143301373213,3.0578613291457404,10.0,2.3975577467408025,0.43190007762230126,1.819173571158018,2.236837841300488,2.305399939648839,2.545133179747556,3.1339931891594577
5000,current_lognormal,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,2.747823431636048,0.42045450796246076,2.248754783772095,2.4707386892048815,2.647455926419255,2.907455422891343,3.4812220712391277,10.0,2.7627467654714017,0.3643001724247063,2.2415648337453793,2.451986084877691,2.77795428573069,3.0630758391625648,3.284628424803174
50000,budget_0.1,Optimal from 10% of ideas (worse taste),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,5.478138692055243,2.484389803428635,3.721409814940141,4.599774253497692,5.478138692055243,6.3565031306127935,7.234867569170344,2.0,4.757182062622386,1.9866583522288674,3.3524024698604613,4.0547922662414235,4.757182062622386,5.459571859003349,6.161961655384311
50000,budget_0.1,Optimal from all ideas (100% visibility),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,4.42049272961394,0.5962436125240033,3.9988848279590528,4.2096887787864965,4.42049272961394,4.631296680441383,4.842100631268827,2.0,4.259748488042261,0.03480433225482314,4.235138108690205,4.247443298366233,4.259748488042261,4.272053677718288,4.284358867394316
50000,budget_10,Optimal from 10% of ideas (worse taste),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,2.1966643811327025,0.030143489792187915,2.1753497150920187,2.1860070481123604,2.1966643811327025,2.207321714153044,2.217979047173386,2.0,2.2794043746010266,0.12598098049389897,2.1903223689932605,2.2348633717971436,2.2794043746010266,2.3239453774049097,2.3684863802087928
50000,budget_10,Optimal from all ideas (100% visibility),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,inf,,inf,,,,inf,2.0,inf,,inf,,,,inf
50000,current_lognormal,Optimal from 10% of ideas (worse taste),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,2.9928703914521515,0.44081620224674745,2.6811662655865756,2.8370183285193633,2.9928703914521515,3.1487224543849393,3.304574517317727,2.0,2.804179674101234,0.01053945956230839,2.7967271507746845,2.8004534124379594,2.804179674101234,2.807905935764509,2.811632197427784
50000,current_lognormal,Optimal from all ideas (100% visibility),2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,3.702073948965661,0.2615417482248102,3.517136005232513,3.609604977099087,3.702073948965661,3.7945429208322348,3.887011892698809,2.0,3.7880074630669442,0.2966332766387103,3.5782560616301273,3.683131762348536,3.7880074630669442,3.892883163785353,3.9977588645037616
